0,114709,862
1,113497,8844
2,113228,15602
3,114885,31357
4,113041,11862
5,113277,949
6,114319,11860
7,112302,45325
8,114576,9091
9,113189,710
10,112346,9087
11,112896,12110
12,112453,21032
13,113987,10858
14,112760,1408
15,112641,524
16,114388,4584
17,113101,5
18,112281,9273
19,113845,11517
20,113161,8012
21,112722,1710
22,112401,9691
23,114168,12665
24,113627,451
25,114057,16420
26,114011,9263
27,114117,17015
28,112682,902
29,115012,37557
30,112792,9909
31,114746,63
32,112431,9598
33,112818,687
34,113442,33689
35,112697,9603
36,112749,34615
37,114279,31174
38,112819,11443
39,114272,35196
40,113855,9312
41,114681,577
42,113347,11861
43,114369,807
44,114148,10530
45,114916,8391
46,114814,629
47,113819,11448
48,110299,49133
49,112499,26441
50,113158,97406
51,113321,9089
52,110877,11010
53,113419,11359
54,116260,17182
55,113862,2054
56,116126,10607
57,118002,19760
58,115683,9536
59,116839,11525
60,113149,4482
61,113118,10634
62,116367,755
63,113010,11859
64,113537,28387
65,113828,48750
66,115644,20927
67,115676,36929
68,114367,9102
69,113973,124626
70,112744,27526
71,116731,9623
72,112445,46785
73,114660,400
74,112379,880
75,114039,146599
76,112365,8447
77,118158,10534
78,116151,17414
79,115697,13997
80,113972,2086
81,117002,9095
82,114825,12158
83,115639,9283
84,115759,9208
85,113403,40154
86,113247,406
87,113283,63076
88,115907,11062
89,115734,13685
90,117102,47475
91,118040,2045
92,116483,9614
93,112579,688
94,110251,11907
95,117110,10874
96,112646,89333
97,112573,197
98,75314,103
99,113326,33542
100,115645,43566
101,112373,51352
102,115033,16934
103,116606,10324
104,114536,78406
105,106473,32119
106,103859,11066
107,109424,11104
108,116324,2074
109,110647,27793
110,110217,290157
111,114131,110972
112,113451,11863
113,116130,9101
114,113756,5757
115,118055,9302
116,115685,11000
117,112585,16388
118,112442,9737
119,112342,30765
120,112461,10474
121,112427,22279
122,109093,30157
123,112384,568
124,114287,11780
125,112288,34996
126,112462,414
127,61395,649
128,112495,1873
129,112541,5894
130,109370,1775
131,112642,8839
132,112688,20649
133,112715,10329
134,112740,8963
135,109508,26564
136,112851,8068
137,112857,8512
138,112864,1572
139,112887,13552
140,113071,6520
141,113114,9073
142,113243,10428
143,113464,17447
144,113481,9886
145,113492,9482
146,113500,19326
147,113540,9344
148,113677,9071
149,113690,8973
150,107447,15730
151,113729,47608
152,113749,2293
153,113820,9070
154,110604,48787
155,110620,34574
156,113957,1642
157,113986,11472
158,114095,36196
159,114194,11980
160,114241,58372
161,114323,32646
162,114345,10533
163,114436,10802
164,114478,10149
165,114496,18402
166,114508,9348
167,114558,281
168,58450,5967
169,114663,47939
170,114702,36834
171,114682,9090
172,114781,3512
173,114798,52856
174,114805,77350
175,114887,9560
176,114898,9804
177,114928,31611
178,114938,65796
179,109340,49805
180,112602,26258
181,111579,50797
182,110882,19155
183,112471,76
184,112508,11017
185,112438,37141
186,112571,9382
187,112757,6715
188,112643,18256
189,112679,22625
190,109445,2292
191,112883,1909
192,109635,8984
193,109676,4954
194,112854,62488
195,109579,10531
196,109642,11929
197,109686,8467
198,111797,10451
199,109759,20156
200,109758,18395
201,109707,522
202,113117,397
203,113097,10525
204,113028,27985
205,113198,15789
206,113303,27303
207,113089,21183
208,109771,10954
209,113199,47867
210,110057,14275
211,110005,1024
212,110066,17207
213,110116,13701
214,110006,14819
215,113360,32631
